ticker,forward_return,is_winner,rsi,rvol,momentum_1m,momentum_3m,ema_trend,macd_signal,distance_52w_high,volume_trend,price_acceleration,volatility
AVGO,-20.60533268850122,False,72.23022731948015,33.367083849573724,84.66871687950658,64.95194419471898,100.0,58.323534080351116,99.60445136663346,43.78538056903024,37.27009832250811,47.64024729982075
NKE,-0.7599939094726338,False,62.98359882104745,38.206339563898105,59.69127280625885,40.69866212740034,85.0,55.018756765706875,81.67817783775084,25.98795118300994,65.10536715855493,68.56407115915562
MRK,11.155053494513801,True,55.55076189795603,27.942660795076023,64.66742899221755,69.04879870813232,85.0,41.796325688704144,92.23356827048738,19.535068087948993,0.0,67.3767541571192
PEP,-3.433533396413868,False,62.767792068647935,65.16125356205521,58.3873742056892,55.3188903810625,100.0,51.197081936681684,96.40043751867144,47.1028626123834,63.73482646092333,83.47257942156419
KO,3.7957569438520578,False,46.70506895238664,45.26271134419741,47.4672231401412,56.320518080252626,85.0,45.67593664759488,96.29679818677627,40.4331489023327,29.69917283501684,86.97540220851454
WMT,4.484506149494161,False,74.61809716654959,24.7771266050949,68.83216940799039,59.363231830637204,100.0,55.42465472773824,97.34239830149517,28.960303491797145,60.169128131184095,69.52804567751144
CVX,10.49468265327369,True,49.2019983422728,30.476803443873514,45.98184915442538,47.448293600174495,35.0,49.612852379782616,92.73847797578955,38.93563913312567,79.31906328993955,81.3714192426035
XOM,12.698678424724697,True,57.7494751755894,32.81283068783068,51.34508077301794,57.51209364186545,100.0,50.81999122193797,99.2280233288352,43.2296314622229,89.66289170823217,82.01024825880664
LLY,6.854593650363472,False,36.80810948005263,20.094514603292023,51.310774458217836,81.73317615784418,85.0,32.80412366242274,89.35692077938644,22.861567616340384,0.0,73.63754401053534
ABBV,-1.397919848815632,False,40.834689904737864,37.94702395277735,50.008880412876344,53.876219096975085,65.0,46.35371774816126,92.64463585477297,18.720950835241002,20.55821712661522,74.30015866642506
PLTR,-9.762652792924332,False,74.39794924833251,33.69174464337109,46.805610657180274,59.61326004224716,100.0,63.985617689632136,90.5503083044443,4.8390426383745355,100.0,54.093939206923444
SOFI,-4.300483237228969,False,51.569130069377984,21.06845750246164,25.056539481745975,52.03390181184475,35.0,45.13968642636169,82.76810428191325,26.464058182072968,65.70625244478013,28.05840136101294
UPST,-6.752838790490479,False,77.45541384170335,26.471125609747386,100.0,27.385854802998832,85.0,76.51152024182642,50.622736100282765,17.754625861414077,90.09551008571111,31.259136924679737
